rank,name,confed,off,def,spi
170,Sao Tome and Principe,CAF,0.76,2.31,16.76
171,Singapore,AFC,0.61,2.05,16.55
172,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
173,Grenada,CONCACAF,0.68,2.22,16.04
174,Vanuatu,OFC,0.67,2.22,16.02
175,Hong Kong,AFC,0.38,1.67,15.88
176,Liechtenstein,UEFA,0.64,2.26,14.98
177,Indonesia,AFC,0.69,2.44,14.11
178,Gibraltar,UEFA,0.52,2.13,13.94
179,Andorra,UEFA,0.29,1.82,12.15
180,Afghanistan,AFC,0.57,2.58,10.81
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Montserrat,CONCACAF,0.81,3.24,9.65
183,Cayman Islands,CONCACAF,0.4,2.41,9.43
184,Papua New Guinea,OFC,0.6,2.88,9.16
185,Myanmar,AFC,0.39,2.44,9.05
186,Somalia,CAF,0.54,2.94,8.05
187,Djibouti,CAF,0.56,2.99,7.96
188,Nepal,AFC,0.24,2.26,7.84
189,Bahamas,CONCACAF,0.73,3.44,7.5
190,Seychelles,CAF,0.43,2.84,7.13
191,Chinese Taipei,AFC,0.45,2.91,7.03
192,French Guiana,CONCACAF,0.52,3.18,6.57
193,Bangladesh,AFC,0.2,2.4,6.28
194,Maldives,AFC,0.35,2.87,5.98
195,Mongolia,AFC,0.24,2.73,5.31
196,Cambodia,AFC,0.29,3.18,4.14
197,British Virgin Islands,CONCACAF,0.42,3.62,3.88
198,San Marino,UEFA,0.26,3.16,3.87
199,Bonaire,CONCACAF,0.37,3.59,3.5
200,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
201,Guadeloupe,CONCACAF,0.2,3.49,2.47
202,Anguilla,CONCACAF,0.36,4.03,2.41
203,Brunei,AFC,0.21,3.71,2.13
204,Sri Lanka,AFC,0.2,3.71,2.04
205,US Virgin Islands,CONCACAF,0.38,4.38,1.93
206,Pakistan,AFC,0.2,3.92,1.71
207,Laos,AFC,0.21,4.11,1.48
208,Guam,AFC,0.31,4.6,1.31
209,Bhutan,AFC,0.22,4.62,0.98
210,St. Martin,CONCACAF,0.23,4.89,0.81
211,Sint Maarten,CONCACAF,0.21,4.93,0.74
212,Tuvalu,OFC,0.38,5.62,0.7
213,Timor-Leste,AFC,0.33,5.56,0.64
214,Macau,AFC,0.2,5.11,0.6
215,Samoa,OFC,0.2,5.78,0.34
216,Tonga,OFC,0.2,6.08,0.26
